date,retweets,favorites,text,mentions,hashtags,permalink
2018-02-15,0,2,Have you heard the # Bitcoin and # cryptocurrency special from my # podcast? How to # makemoney with this innovation and interviews with @ vincente and @ beursbox http://ow.ly/d/7jFl,@ @,# # # #, https://twitter.com/lodewijkhof/status/964286987711713280
2018-02-15,0,2,I put $340 in bitcoin and I’ve already profited $100... I like dis,,, https://twitter.com/DustinRyder55/status/964286562736336896
2018-02-15,5,5,$ ETH $ LTC $ BTC $ BTS $ MTL My Cryptocurrency Buys. # cryptocurrencies # blockchain # cryptos # altcoins # bitcoin # litecoin # bitshares # metalpaypic.twitter.com/3nPTnfWFNN,,# # # # # # # #, https://twitter.com/PENNYBUSTER1/status/964284679909240832
2018-02-15,1,11,This chart shows the current buying power of BTC in ounces of Gold. # gold # bitcoin buy gold with bitcoin http://vaultrunner.com pic.twitter.com/XWGZluZu2a,,# #, https://twitter.com/vaultrunnerUS/status/964284588364152832
2018-02-15,0,2,Bitcoin Price Topped $10200 Amid Cryptocurrency Rally http://www.investopedia.com/news/bitcoin-price-consolidates-gains-track-10k?utm_source=twitter&utm_medium=social&utm_campaign=shareurlbuttons … via @ investopedia,@,, https://twitter.com/jso10130/status/964284188663930880
2018-02-15,0,3,This dude is having bprivate. Of course is bashing bitcoin. What a shame. Good luck with your alt tai. Moving forward don't bash on BTC and we'll do the same. No one will care what you do. Watch.,,, https://twitter.com/nioctibcamp/status/964284181680242688
2018-02-15,0,2,The @ equi_capital team grow project go forward. See more about the team in official website here https://www.equi.capital # Crypto # Blockchain # EQUI # VentureCapital # ethereum # bitcoin # cryptocurrency # ICO # tokensale https://twitter.com/equi_capital/status/964150086937858049 …,@,# # # # # # # # #, https://twitter.com/eprocentteam/status/964284084515147776
2018-02-15,0,3,here is an investment tip. If you buy # Bitcoin # BTC $ BTC every month with your spare # fiat regardless of amount a year from now you will have more # Bitcoin from that 21mil pie. Easy.,,# # # #, https://twitter.com/cryptoha/status/964283878205771776
2018-02-15,2,3,Download the MobyTrader and start trading # bitcoin the fun way.. # crypto # cryptocurrency # ethereum # Litecoin # DigitalCurrency # dash # Zcash # invest # tradingpic.twitter.com/aleGb4Chws,,# # # # # # # # # #, https://twitter.com/BitcoinGamingO/status/964283834790445056
2018-02-15,0,2,# Coinhive uses the CryptoNight algorithm to mine for Monero -- which works on regular PCs/devices. In other words this algorithm doesn't require special hardware (GPU/ASICs) as we see with Bitcoin mining.,,#, https://twitter.com/bad_packets/status/964283514584629248
2018-02-15,0,1,Don’t catch it!!! $ rpx $ act $ neo $ kcs $ xlr $ enj $ dent $ lend $ ven $ can $ drgn $ ins $ ebtc $ nebl $ poll $ pura $ r $ cxo $ cag $ flixx $ tel $ sub $ snov $ qsp Check this out!! Website: http://goo.gl/tBt2AE IOS & ANDROID APP $ btc $ eth $ etc $ xrp $ xlm $ powr # bitcoin # Ethereumpic.twitter.com/6DLbTvudgU,,# #, https://twitter.com/Cyrpto87/status/964283258707087361
2018-02-15,1,4,CoinHoarder Steals Over $50 Million in Cryptocurrencies Using Google Ads - NewsBTC via BTCnews on iOS WOW this is off the hook crazy @ envescent @ TradersCom # blockchain # bitcoin # bitcoinwallet # cryptocurrencies $ BTC https://www.newsbtc.com/2018/02/15/hackers-coinhoarder-steal-more-than-50-million-in-cryptocurrencies-using-google-ads/ …,@ @,# # # #, https://twitter.com/Lizardjb3/status/964283148547821569
2018-02-15,1,3,Bitcoin back above 10k pic.twitter.com/ncy0aiNH2A,,, https://twitter.com/shaffeRgaming/status/964282724147191809
2018-02-15,1,3,I confirm that this was said and that it totally made sense. (Is in fact the first sentence containing the word # bitcoin I’ve ever understood.) https://twitter.com/rosaluxnyc/status/964278972451258368 …,,#, https://twitter.com/EthanEarle/status/964282480399470593
2018-02-15,3,22,# Beijing is waking up. Time to Check your # litecoin and # Bitcoin and get ready to # PayWithLitecoin Feb 26pic.twitter.com/EZ3Rsq1XrL,,# # # #, https://twitter.com/Hydeez411/status/964282383099924481
2018-02-15,35,57,Five Siberian Power Plants Attracting Crypto Miners With Surplus Electricity http://ift.tt/2EukQAL # Bitcoin pic.twitter.com/HK1oFPmNJ8,,#, https://twitter.com/BTCTN/status/964281972968140800
2018-02-15,2,2,# Coin # domains for sale: http://CoinComputer.com http://CoinHustle.com http://CoinQuick.com http://CoinRules.com http://CoinTrek.com http://CoinType.com http://CoinWhiz.com http://HoldCoin.com http://OriginalCoin.com # crypto # coin # cryptocurrency # bitcoin pic.twitter.com/RoZRR3GWpy,,# # # # # #, https://twitter.com/NameWhiz/status/964281876365107200
2018-02-15,3,4,TSH World News in 2 Minutes (Jan 2018) - latest headlines that will matter in the future https://www.youtube.com/watch?v=1QZj_1VKt3w … @ BBCNews @ TheEconomist @ Guardian # TSH # WorldNews # news # politics # technology # future # Trump # Bannon # shithole # GOP # Hawaii # missile # NorthKorea # bitcoin # AI # MeToo,@ @ @,# # # # # # # # # # # # # # # #, https://twitter.com/TSH_News/status/964281405931966464
