Date,googleSearches,BTCPrice,BTCReturns,googleReturns,twitterSentiment,twitterSentimentReturns
2016-01-03,0.03,0.025589702852583596,,,0.073302,
2016-01-10,0.03,0.024039844229560237,-0.06056571394954213,0.0,-0.042822,-1.5841859703691576
2016-01-17,0.03,0.022920048571104717,-0.04658082006532216,0.0,0.16442200000000004,-4.839661856055299
2016-01-24,0.03,0.021245551683259704,-0.07305817361818556,0.0,0.14116399999999998,-0.1414530902190707
2016-01-31,0.03,0.021765392388734168,0.024468214016022394,0.0,0.11537400000000002,-0.18269530475191953
2016-02-07,0.03,0.021210075682789025,-0.025513746594919007,0.0,0.152918,0.3254112711702808
2016-02-14,0.03,0.023596651666778982,0.11252086129643324,0.0,0.075026,-0.5093710354569116
2016-02-21,0.03,0.023717939761429312,0.005140055307977676,0.0,0.06174800000000002,-0.17697864740223357
2016-02-28,0.03,0.02355631664086898,-0.006814382791509033,0.0,0.10751800000000002,0.7412385826261576
2016-03-06,0.03,0.023303799056011588,-0.010719739792395488,0.0,0.11818399999999998,0.09920199408471109
2016-03-13,0.03,0.023498773845218947,0.008366652524711915,0.0,0.139648,0.1816151086441482
2016-03-20,0.03,0.02326262520886785,-0.010049402488255588,0.0,0.086128,-0.3832493125572869
2016-03-27,0.03,0.023281340128954674,0.0008045059368317897,0.0,0.142536,0.6549321939438975
2016-04-03,0.02,0.02361743465628963,0.014436219112531123,-0.33333333333333326,0.2315,0.6241510916540385
2016-04-10,0.03,0.023703303012869104,0.0036358037115011843,0.5,0.22218799999999997,-0.0402246220302378
2016-04-17,0.03,0.025107962021317046,0.05926005365941278,0.0,0.158732,-0.28559598178119416
2016-04-24,0.03,0.02508483306022587,-0.0009211803439697075,0.0,0.08462000000000001,-0.46690018395786603
2016-05-01,0.04,0.02502701236241913,-0.002305006282797173,0.3333333333333335,0.11631400000000001,0.37454502481682805
2016-05-08,0.03,0.025406347101400443,0.015157012490668809,-0.25,0.098528,-0.15291366473511359
