date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-01-07 22:28:20,crazydaveorama,,0,1,2,"Gemini’s Winklevoss: ‘Institutionalization’ Of #Bitcoin Trading Has Begun #cryptocurrency https://www.cryptocoinsnews.com/geminis-winklevoss-institutionalization-bitcoin-trading-begun/ via @CryptoCoinsNews",,@cryptocoinsnews,#Bitcoin #Bitcoin #cryptocurrency,685226487847366660,https://twitter.com/crazydaveorama/status/685226487847366660
2016-01-07 22:27:15,michaeltg,,2,0,1,"No matter how markets react tonight watch bitcoin move higher",,,,685226214466940929,https://twitter.com/michaeltg/status/685226214466940929
2016-01-07 22:19:25,mecampbellsoup,,0,0,1,"Which asset has been (1) great store of value, despite global fin'l mkts tanking, and (2) de-correlated with those same mkts? #bitcoin baby!",,,#bitcoin #bitcoin,685224245891362820,https://twitter.com/mecampbellsoup/status/685224245891362820
2016-01-07 22:18:58,Shadhammer,,0,2,3,"Great video podcast on the virtues of #bitcoin @d_seaman @MadBitcoins http://youtu.be/oL6k4ehuGio",,@d_seaman @MadBitcoins,#bitcoin #bitcoin,685224133077118978,https://twitter.com/Shadhammer/status/685224133077118978
2016-01-07 22:11:12,StringStory,,0,3,9,"""Geek'out on Bitcoin"" is back next week &amp; @MartinDale opens 2015 with me. Next Tues 1PM PST. Subscribe ➼ https://blab.im/suzanne-nguyen-geekin-out-on-bitcoin-blockchain-w-martindale?utm_source=twitter&amp;utm_medium=web&amp;utm_campaign=text #blab",,@martindale,#blab,685222177847656448,https://twitter.com/StringStory/status/685222177847656448
2016-01-07 22:10:34,Starcarrie9,,1,1,3,"I'm going to The North American Bitcoin Conference this January in Miami Beach! woohoo! http://btcmiami.com",,,,685222016169934848,https://twitter.com/Starcarrie9/status/685222016169934848
2016-01-07 22:08:41,CryptonitDMD,,0,0,2,"https://bitcointalk.org/index.php?topic=580725.msg13479585#msg13479585 first DMD Diamond hardening phase starts soon (halving of inflation) #dmdcoin #bitcoin #altcoin #cryptp #blockchain",,,#dmdcoin #bitcoin #bitcoin #altcoin #cryptp #blockchain,685221545665531905,https://twitter.com/CryptonitDMD/status/685221545665531905
2016-01-07 22:08:19,robviglione,,0,4,1,"Yuan Plunge Could Spur Devaluation Race, Mexico Minister Says http://www.bloomberg.com/news/articles/2016-01-07/yuan-plunge-could-spur-devaluation-race-mexico-minister-says Great news for #bitcoin #finance #econ #investing",,,#bitcoin #bitcoin #finance #econ #investing,685221452715552768,https://twitter.com/robviglione/status/685221452715552768
2016-01-07 22:07:48,peterMgeiser,FintechCH,0,0,2,"Beautiful #infographics about blockchain and its usages, other than bitcoin. #fintech",,,#infographics #fintech,685221322239119360,https://twitter.com/peterMgeiser/status/685221322239119360
2016-01-07 22:06:11,BitcoinGuruInfo,,1,0,2,"#Bitcoin Megabull Cycle continues estimated breakout 3x patterns - Jan. 15 - Full Chart --&gt; https://crd.ht/GSsWEMz",,,#Bitcoin #Bitcoin,685220913030258688,https://twitter.com/BitcoinGuruInfo/status/685220913030258688
2016-01-07 22:03:18,Bitcoin,,0,15,0,"Bitcoin Exchange BTC-e Back Online After Reported DDoS http://ow.ly/39PVVO",,,,685220188581675009,https://twitter.com/Bitcoin/status/685220188581675009
